,City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Description,Wind_Speed,Country,Date
216,yumen,40.28,97.2,9.360000000000014,43,40,scattered clouds,9.27,CN,2020-05-10 02:29:55
217,lima,-12.04,-77.03,21.0,73,16,few clouds,6.7,PE,2020-05-10 02:17:44
218,ponta delgada,37.73,-25.67,17.0,93,75,broken clouds,9.3,PT,2020-05-10 02:27:14
219,tres arroyos,-38.37,-60.28,12.32000000000005,65,0,clear sky,3.81,AR,2020-05-10 02:29:56
220,alexandria,38.8,-77.05,6.670000000000016,51,1,clear sky,2.87,US,2020-05-10 02:25:26
221,windhoek,-22.56,17.08,13.330000000000041,40,0,clear sky,2.1,NA,2020-05-10 02:29:56
222,ifanadiana,-21.3,47.63,16.57000000000005,94,92,overcast clouds,0.87,MG,2020-05-10 02:29:57
223,bilibino,68.05,166.44,3.1899999999999977,76,100,overcast clouds,5.69,RU,2020-05-10 02:28:47
224,palmeirais,-5.98,-43.06,23.33000000000004,86,4,clear sky,1.69,BR,2020-05-10 02:29:57
225,beloha,-25.17,45.05,18.350000000000023,88,11,few clouds,5.51,MG,2020-05-10 02:29:58
226,klaksvik,62.23,-6.59,-1.0,63,100,light snow,5.1,FO,2020-05-10 02:28:33
227,salinopolis,-0.61,-47.36,26.30000000000001,85,95,light rain,3.88,BR,2020-05-10 02:26:19
228,fuerte,17.54,120.36,31.52000000000004,57,45,scattered clouds,2.87,PH,2020-05-10 02:29:59
229,dezful,32.38,48.41,25.28000000000003,41,100,light rain,2.92,IR,2020-05-10 02:30:00
230,mayo,63.59,-135.9,21.0,21,20,few clouds,4.6,CA,2020-05-10 02:30:00
231,sitka,57.05,-135.33,20.0,32,75,broken clouds,3.1,US,2020-05-10 02:30:00
232,amapa,1.0,-52.0,22.610000000000014,98,74,light rain,0.93,BR,2020-05-10 02:30:01
233,lethem,3.38,-59.8,26.430000000000007,69,32,scattered clouds,4.03,GY,2020-05-10 02:30:01
234,scarborough,11.18,-60.73,27.0,74,20,few clouds,3.1,TT,2020-05-10 02:30:02
235,ancud,-41.87,-73.82,10.0,81,75,broken clouds,3.6,CL,2020-05-10 02:30:03
236,waingapu,-9.66,120.26,29.24000000000001,67,0,light rain,6.62,ID,2020-05-10 02:30:03
237,susurluk,39.91,28.16,5.0,93,15,few clouds,1.15,TR,2020-05-10 02:30:04
238,ibra,22.69,58.53,32.33000000000004,16,12,few clouds,2.04,OM,2020-05-10 02:30:04
239,la ronge,55.1,-105.28,3.0,44,20,few clouds,4.6,CA,2020-05-10 02:28:14
240,moose factory,51.26,-80.61,0.0,97,90,light snow,4.6,CA,2020-05-10 02:30:05
241,dunedin,-45.87,170.5,13.330000000000041,76,75,broken clouds,1.34,NZ,2020-05-10 02:27:20
242,scottsbluff,41.87,-103.67,9.0,39,1,clear sky,7.7,US,2020-05-10 02:27:18
243,kulu,39.1,33.08,7.800000000000011,59,0,clear sky,1.72,TR,2020-05-10 02:30:06
244,bolshaya rechka,51.95,104.74,11.0,50,57,broken clouds,1.0,RU,2020-05-10 02:30:07
245,mindelo,16.89,-24.98,23.0,69,75,broken clouds,12.9,CV,2020-05-10 02:30:07
246,iskateley,67.68,53.15,0.8700000000000045,92,48,scattered clouds,3.82,RU,2020-05-10 02:30:07
247,kutum,14.2,24.67,19.840000000000032,18,3,clear sky,4.32,SD,2020-05-10 02:30:09
248,jalu,29.03,21.55,18.450000000000045,26,0,clear sky,3.14,LY,2020-05-10 02:30:09
249,namie,37.48,141.0,18.890000000000043,97,100,moderate rain,2.99,JP,2020-05-10 02:30:09
250,bambous virieux,-20.34,57.76,24.0,73,40,scattered clouds,3.6,MU,2020-05-10 02:30:10
251,at-bashi,41.17,75.81,12.410000000000025,45,69,broken clouds,0.96,KG,2020-05-10 02:30:10
252,qostanay,53.17,63.58,17.0,45,100,overcast clouds,2.0,KZ,2020-05-10 02:30:10
253,mingshui,36.72,117.5,24.439999999999998,50,0,clear sky,0.45,CN,2020-05-10 02:30:11
254,dingle,52.14,-10.27,11.640000000000043,90,11,few clouds,3.51,IE,2020-05-10 02:30:11
255,panjab,34.39,67.02,10.100000000000023,56,0,clear sky,1.54,AF,2020-05-10 02:30:12
256,ouesso,1.61,16.05,20.180000000000007,91,100,overcast clouds,1.2,CG,2020-05-10 02:30:12
257,ugoofaaru,5.67,73.0,28.410000000000025,73,100,overcast clouds,2.96,MV,2020-05-10 02:30:12
258,faanui,-16.48,-151.75,27.470000000000027,82,26,scattered clouds,7.96,PF,2020-05-10 02:30:13
259,jamestown,-15.94,-5.72,21.230000000000018,86,0,clear sky,7.51,SH,2020-05-10 02:30:13
260,omboue,-1.57,9.26,25.170000000000016,88,99,overcast clouds,1.15,GA,2020-05-10 02:30:13
